player_id,photo_url
8fd1a8f5,https://commons.wikimedia.org/wiki/Special:FilePath/Dale%20Steyn%20YM.jpg?width=330
bcf325d2,
0ebfb1ad,
5750bcb4,
d2a6c0e6,https://commons.wikimedia.org/wiki/Special:FilePath/Eoin%20morgan.jpg?width=330
b274dbbd,
dce2019b,https://commons.wikimedia.org/wiki/Special:FilePath/FARHAAN%20BERHARDIEN%20%2815681095246%29.jpg?width=330
3355b542,https://commons.wikimedia.org/wiki/Special:FilePath/Faf%20du%20Plessis%202019%20Boxing%20Day.jpg?width=330
b52ffbbd,
bf74b130,
a7c226e1,https://commons.wikimedia.org/wiki/Special:FilePath/Fidel%20Edwards%20%281%29.jpg?width=330
c15e2193,
e9c7f0d0,https://commons.wikimedia.org/wiki/Special:FilePath/Fazalhaq%20Farooqi.jpg?width=330
3204c99f,
bb345e0b,https://commons.wikimedia.org/wiki/Special:FilePath/Gautam%20Gambhir%203.jpg?width=330
f708a0bc,https://commons.wikimedia.org/wiki/Special:FilePath/BradleyHogg%20%28cropped%29.jpg?width=330
72861603,https://commons.wikimedia.org/wiki/Special:FilePath/Graeme%20Smith%20portrait.jpg?width=330
a316d663,
ee7d0c82,https://commons.wikimedia.org/wiki/Special:FilePath/Glenn%20McGrath%20Portrait%2C%202011%2C%20jjron.jpg?width=330
9a46c4e5,
e5437608,
94253925,https://commons.wikimedia.org/wiki/Special:FilePath/Hanuma%20Vihari.png?width=330
be869ccf,
5056011d,https://commons.wikimedia.org/wiki/Special:FilePath/George%20Bailey%202008.jpg?width=330
b681e71e,https://commons.wikimedia.org/wiki/Special:FilePath/Glenn%20Maxwell%203.jpg?width=330
611926bc,https://commons.wikimedia.org/wiki/Special:FilePath/Graham%20Napier.jpg?width=330
1558d83b,
890de8cb,
9f77963a,https://commons.wikimedia.org/wiki/Special:FilePath/Gulbadin%20Naib.jpg?width=330
cc61ee8f,
6eb146d2,
99258814,
0ed0cdbf,
235c2bb6,
52294a79,
4ae1755b,https://commons.wikimedia.org/wiki/Special:FilePath/Harry%20Brook%20%2851225504151%29%20%28cropped%29.jpg?width=330
9948e262,
e412cb64,https://commons.wikimedia.org/wiki/Special:FilePath/3%2003%20Harry%20Gurney.jpg?width=330
e1d1b294,https://commons.wikimedia.org/wiki/Special:FilePath/Herschelle%20Gibbs.jpg?width=330
dbe50b21,https://commons.wikimedia.org/wiki/Special:FilePath/Hardik%20Pandya%20in%20PMO%20New%20Delhi.jpg?width=330
e798611a,https://commons.wikimedia.org/wiki/Special:FilePath/Hashim%20Amla%20fielding.jpg?width=330
0c9652b0,
f986ca1a,
8b5b6769,https://commons.wikimedia.org/wiki/Special:FilePath/Harbhajan%20Singh%27s%20Pepsi%20promotional%20event%20%27Change%20The%20Game%27.jpg?width=330
2a72fd4f,
0bf15e52,
c05edf8e,
28c78fb3,https://commons.wikimedia.org/wiki/Special:FilePath/Harpreet%20Singh%20Bhatia.jpg?width=330
25228673,
77b1aa15,
ebcfef83,
943fd425,
5bb1a1c4,https://commons.wikimedia.org/wiki/Special:FilePath/Ishant%20Sharma%20bowling.JPG?width=330
ac5ae4af,
e0407c01,
fdf7491e,
5fa06777,https://commons.wikimedia.org/wiki/Special:FilePath/Irfan%20Pathan72.jpg?width=330
dded65e7,
641ac5ff,https://commons.wikimedia.org/wiki/Special:FilePath/2018.02.03.20.52.20-AUSvNZL%20T20%20NZL%20innings%2C%20SCG%20%2838618201470%29%20%28Sodhi%20cropped%29.jpg?width=330
acee4cc4,https://commons.wikimedia.org/wiki/Special:FilePath/Imran%20Tahir.jpg?width=330
85aae393,
752f7486,https://commons.wikimedia.org/wiki/Special:FilePath/Ishan%20Kishan.jpg?width=330
f663ef00,
7c503806,https://commons.wikimedia.org/wiki/Special:FilePath/Johan%20Botha.jpg?width=330
9b6e1b3f,
9061a703,
59559bc2,https://commons.wikimedia.org/wiki/Special:FilePath/Jamie%20Overton.jpg?width=330
4125d931,
c64c2443,
dec8e038,
81049310,
dadbdb68,
c3d35165,https://commons.wikimedia.org/wiki/Special:FilePath/Albie%20Morkel%202.jpg?width=330
1ee08e9a,
5574750c,https://commons.wikimedia.org/wiki/Special:FilePath/Australia%20captain%20wicketkeeper%20Tim%20Paine%20and%20spin%20bowler%20Nathan%20Lyon%20of%20Australia%20discuss%20tactics%20as%20Jofra%20Archer%20walks%20to%20the%20wicket%20on%20Day%204%20of%20the%203rd%20Test%20of%20the%202019%20Ashes%20at%20Headingley%20%2848630967226%29%20%28Archer%20cropped%29.jpg?width=330
99b75528,https://commons.wikimedia.org/wiki/Special:FilePath/Jos%20Buttler%202017.jpg?width=330
91ffa6c6,
1e66c162,https://commons.wikimedia.org/wiki/Special:FilePath/2%2009%20Jaydev%20Unadkat%201.jpg?width=330
3eac9d95,
9219eff0,
a343262c,https://commons.wikimedia.org/wiki/Special:FilePath/England%20captain%20Joe%20Root%202019.jpg?width=330
4180d897,https://commons.wikimedia.org/wiki/Special:FilePath/Jerome%20Taylor%20%281%29.jpg?width=330
cf73ad76,https://commons.wikimedia.org/wiki/Special:FilePath/James%20Franklin%20and%20Joe%20Burns.jpg?width=330
3c55c703,
86dc8f2e,https://commons.wikimedia.org/wiki/Special:FilePath/Jacques%20Kallis%206.jpg?width=330
462411b3,https://commons.wikimedia.org/wiki/Special:FilePath/Jasprit%20Bumrah%20in%20PMO%20New%20Delhi.jpg?width=330
